source,target,tgt_lng
Knowledge,知识,
Text,文本,
Reasoning,推理,
Code,代码,
Early,早期,
10%:90%,10%:90%,
Mid,中期,
50%,50%,
20%:80%,20%:80%,
Late,晚期,
80%,80%,
50%:50%,50%:50%,
CyberGym,CyberGym,
SciCode,SciCode,
OJBench (cpp),OJBench (cpp),
SWE-Bench Multilingual,SWE-Bench 多语言,
Terminal Bench 2.0,Terminal Bench 2.0,
PaperBench (CodeDev),PaperBench (代码开发),
MotionBench,MotionBench,
Video-MME,Video-MME,
SimpleVQA,SimpleVQA,
WorldVQA,WorldVQA,
ZeroBench,ZeroBench,
WebArena,WebArena,
CharXiv,CharXiv,
MathVision,MathVision,
MathVista,MathVista,
tools,工具,
BabyVision,BabyVision,
BLINK,BLINK,
LiveCodeBench,LiveCodeBench,
Agentic,自主代理式,
BrowseComp,BrowseComp,
w/ ctx manage,带上下文管理,
Agent Swarm,Agent Swarm,
Kimi K2.5,Kimi K2.5,
open-source,开源,
proprietary,专有,
Claude Opus,Claude Opus,
GPT-5.2,GPT-5.2,
Gemini 3 Pro,Gemini 3 Pro,
DeepSeek-V3.2,DeepSeek-V3.2,
InfoVQA,InfoVQA,
VideoMMMU,VideoMMMU,
MMVU,MMVU,
token-efficient RL,token高效强化学习,
Decoupled Encoder Process (DEP),解耦编码器过程（DEP）,
Balanced Vision Forward,平衡视觉前向,
Backbone Training,主干训练,
Vision Recomputation & Backward,视觉重新计算与反向传播,
LongCat-Flash-Omni,LongCat-Flash-Omni,
Video,视频,
OS Screenshot,操作系统截图,
High-quality Text,高质量文本,
Multimodal,多模态,
Long Text,长文本,
Long Video,长视频,
Long-CoT,长思维链,
Sequence length,序列长度,
Tokens,标记,
15T,15T,
500B→200B,500B→200B,
Training,训练,
ViT,ViT,
ViT & LLM,ViT & 大语言模型,
DeepSearchQA,DeepSearchQA,
FinSearchCompT2&T3,FinSearchCompT2&T3,
Seal-0,Seal-0,
MMVP,MMVP,
OmniDocBench 1.5,OmniDocBench 1.5,
OCRBench,OCRBench,
IMO-AnswerBench,IMO-AnswerBench,
GPQA Diamond,GPQA Diamond,
HMMT,HMMT,
Feb 2025,2025年2月,
Nov 2025,2025年11月,
text-based reasoning,基于文本的推理,
competitive and agentic coding,竞争性和代理式编程,
multimodal understanding,多模态理解,
autonomous agentic execution,自主代理式执行,
computer use,计算机使用,
Humanity’s Last Exam,人类最后考试,
AIME 2025,AIME 2025,
HMMT 2025,HMMT 2025,
GPQA-Diamond,GPQA-Diamond,
MMLU-Pro,MMLU-Pro,
SimpleQA Verified,SimpleQA Verified,
AdvancedIF,AdvancedIF,
LongBench v2,LongBench v2,
Visual RL,视觉强化学习,
text-only benchmarks,纯文本基准测试,
outcome-based visual RL,基于结果的视觉强化学习,
visual grounded reasoning,视觉基础推理,
cross-modal generalization,跨模态泛化,
textual reasoning,文本推理,
zero-vision SFT,无视觉SFT,
