source,target,tgt_lng
Full Attention Block Indexes,全注意力块索引,
Vision-Language Merger,视觉语言合并器,
In Channel,输入通道,
Out Channel,输出通道,
Large Language Model (LLM),大语言模型,
Hidden Size,隐藏大小,
# Layers,层数,
# KV Heads,KV 头,
Head Size,头大小,
Vision Transformer (ViT),视觉Transformer,
multi-layer perceptron (MLP),多层感知机,
LLM,大语言模型,
Qwen2.5-VL,Qwen2.5-VL,
Qwen2.5-VL-3B,Qwen2.5-VL-3B,
Qwen2.5-VL-7B,Qwen2.5-VL-7B,
Qwen2.5-VL-72B,Qwen2.5-VL-72B,
AI2Dw,AI2Dw,
TextVQAval,文本问答验证,
DocVQAtest,文档问答测试,
InfoVQAtest,信息问答测试,
ChartQAtest,图表问答测试,
CharXivRQ/DQ,字符Xiv问答/判断,
MiniMax,MiniMax,
MMBench-ENtest,MMBench-ENtest,
Liu et al.,刘等人,
MMBench-CNtest,MMBench-CNtest,
MMBench-V1.1-ENtest,MMBench-V1.1-ENtest,
MMStar,MMStar,
MMEsum,MMEsum,
Fu et al.,付等人,
MuirBench,MuirBench,
Wang et al.,王等人,
Android Control LowEM,Android控制LowEM,
AndroidWorldSR,AndroidWorldSR,
SoM,SoM,
MobileMiniWob++SR,MobileMiniWob++SR,
cross-modal reasoning,跨模态推理,
task-specific performance,任务特定性能,
user intent,用户意图,
state-of-the-art,当前最先进技术,
Claude-3.5,Claude-3.5,
Sonnet-0620,Sonnet-0620,
GPT-4o InternVL2.5,GPT-4o InternVL2.5,
72B,72B,
OCR-related Parsing Tasks,OCR相关解析任务,
CC-OCR,CC-OCR,
OmniDocBenchedit en/zh↓,OmniDocBenchedit en/zh↓,
OCR-related Understanding Tasks,OCR相关理解任务,
Gemini 1.5,Gemini 1.5,
Pro,Pro,
Grounding,Grounding,
DINO,DINO,
Molmo,Molmo,
InternVL2.5,InternVL2.5,
78B,78B,
Refcocoval,Refcocoval,
RefcocotestA,RefcocotestA,
RefcocotestB,RefcocotestB,
Refcoco+val,Refcoco+val,
Refcoco+testA,Refcoco+testA,
Qwen2-VL,Qwen2-VL,
College-level Problems,大学水平问题,
MMMUval,MMMUval,
Yue et al.,岳等人,
70.1 Chen et al.,70.1 陈等人,
MMMU-Prooverall,MMMU-Prooverall,
BLINKval,BLINKval,
2024c,2024c,
Chen et al.,陈等人,
2024d,2024d,
CRPErelation,CRPE关系,
2024h,2024h,
HallBenchavg,HallBenchavg,
Guan et al.,关等人,
2023,2023,
2024f,2024f,
MTVQA,MTVQA,
Tang et al.,唐等人,
2024,2024,
MMVUval,MMVUval,
MVBench,MVBench,
MMBench-Video,MMBench-Video,
LongVideoBenchval,LongVideoBenchval,
LVBench,LVBench,
EgoSchematest,EgoSchematest,
PerceptionTesttest,PerceptionTesttest,
MLVUM-Avg,MLVUM-Avg,
TempCompassAvg,TempCompassAvg,
Math,数学,
MathVistamini,MathVistamini,
Lu et al.,陆等人,
MATH-Visionfull,MATH-Visionfull,
MathVersemini,MathVersemini,
Zhang et al.,张等人,
General Visual Question Answering,通用视觉问答,
MegaBench,MegaBench,
2024b,2024b,
MMbench- EN,MMbench- EN,
BLINK,BLINK,
MMVet,MMVet,
MM-MT-Bench,MM-MT-Bench,
Pure TextTasks,纯文本任务,
instruction-tuned models,指令微调模型,
general tasks,一般任务,
mathematics and science tasks,数学与科学任务,
coding tasks,编程任务,
alignment task,对齐任务,
large language models (LLMs),大语言模型 (LLMs),
state-of-the-art (SoTA),最先进 (SoTA),
reasoning process,推理过程,
human annotators,人工标注者,
model annotators,模型标注者,
ground-truth operation,真实操作,
screenshot,截图,
global query,全局查询,
reasoning content,推理内容,
model-based filter,基于模型的过滤器,
overfitting,过拟合,
real-world scenarios,实际场景,
Visual Pre-Training,视觉预训练,
Multimodal Pre-Training,多模态预训练,
Long-Context Pre-Training,长上下文预训练,
Image Caption,图像描述,
OCR,OCR,
Pure text,纯文本,
Interleaved Data,交错数据,
VQA,VQA,
Video,视频,
Agent,Agent,
70B+ Instruct models,70B+ Instruct模型,
Llama-3.1-70B,Llama-3.1-70B,
Llama-3.1-405B,Llama-3.1-405B,
Qwen2-72B,Qwen2-72B,
Qwen2.5-72B,Qwen2.5-72B,
MMLU-Pro,MMLU-Pro,
MMLU-redux,MMLU-redux,
LiveBench-0831,LiveBench-0831,
GPQA,GPQA,
GSM8K,GSM8K,
SEED-Bench-2-Plus,SEED-Bench-2-Plus,
OCRBench,OCRBench,
VCREn-Hard-EM,VCREn-Hard-EM,
OCR-related Comprehensive Tasks,OCR相关综合任务,
OCRBench_v2en/zh,OCRBench_v2en/zh,
45.2/39.6,45.2/39.6,
51.9/43.1,51.9/43.1,
46.5/32.2,46.5/32.2,
49.8/52.1,49.8/52.1,
61.5/63.7,61.5/63.7,
56.3/57.2,56.3/57.2,
54.3/52.1,54.3/52.1,
spatial relationships,空间关系,
Large Vision-Language Models,大视觉语言模型,
visual grounding,视觉接地,
referring expression comprehension benchmarks,指代表达理解基准,
object detection in the wild,野外目标检测,
self-curated point grounding benchmark,自建点接地基准,
CountBench,计数基准,
Gemin,Gemin,
Grounding-DINO,Grounding-DINO,
box-grounding,框接地,
point-grounding,点接地,
open-vocabulary object detection,开放词汇目标检测,
ODinW-13,ODinW-13,
counting,计数,
Video-MME,Video-MME,
Video-MMMU,Video-MMMU,
MMVU,MMVU,
LVLMs,大视觉语言模型,
OpenAI,OpenAI,
Anthropic,Anthropic,
Team et al.,团队等,
Qwen2.5 LLM,Qwen2.5大语言模型,
multi-modal reasoning,多模态推理,
architectural design,架构设计,
visual input processing,视觉输入处理,
data curation,数据管理,
Alayrac et al.,Alayrac等,
Li et al.,李等,
Xiao et al.,Xiao等,
