source,target,tgt_lng
Token Budget,令牌预算,
Sequence Length,序列长度,
Vision-Language Alignment,视觉语言对齐,
Merger,合并,
67B,67B,
"8,192",8192,
Multimodal Pre-Training,多模态预训练,
All,全部,
~1T,~1T,
Opus 4.1,Opus 4.1,
Hypersim,Hypersim,
SUNRGBD,SUNRGBD,
OSWorld,OSWorld,
WindowsAA,WindowsAA,
CountBench,CountBench,
ODinW-13,ODinW-13,
ARKitScenes,ARKitScenes,
Charades-STA,Charades-STA,
mIoU,mIoU,
VideoMMMU,VideoMMMU,
MMVU,MMVU,
Embodied/Spatial,具身/空间,
Understanding,理解,
ERQA,ERQA,
VSI-Bench,VSI-Bench,
OSWorldG,OSWorldG,
AndroidWorld,AndroidWorld,
Perception,感知,
Tool,工具,
V∗,V*,
93.7+,93.7+,
HRBench4K,HRBench4K,
85.4+,85.4+,
HRBench8K,HRBench8K,
MUIRBENCH,MUIRBENCH,
Video,视频,
MVBench,MVBench,
Video-MMEw/o sub.,无子视频MME,
MLVUM-Avg,MLVUM-Avg,
LVBench,LVBench,
MMMU-Pro,MMMU-Pro,
MathVistamini,MathVistamini,
MathVision,MathVision,
MathVisionWP,MathVisionWP,
We-Math,We-Math,
Agent,代理,
ScreenSpot Pro,ScreenSpot Pro,
Qwen3-VL,Qwen3-VL,
235B-A22B,235B-A22B,
Gemini,Gemini,
2.5 Pro,2.5 Pro,
OpenAI,OpenAI,
GPT-5,GPT-5,
Claude,Claude,
visual benchmarks,视觉基准测试,
technical report,技术报告,
tool use,工具使用,
thinking,思考,
instruct,指令,
STEM,STEM,
Puzzle,谜题,
MMMU,MMMU,
RefSpatialBench,RefSpatialBench,
RoboSpatialHome,RoboSpatialHome,
Multi-Image,多图像,
BLINK,BLINK,
EmbSpatialBench,EmbSpatialBench,
70.6∗,70.6∗,
DocVQAtest,DocVQAtest,
InfoVQAtest,InfoVQAtest,
AI2Dw. M.,AI2Dw. M.,
ChartQAtest,ChartQAtest,
OCRBench,OCRBench,
OCRBench_v2zh,OCRBench_v2zh,
CC-OCR,CC-OCR,
OmniDocBench,OmniDocBench,
general visual question answering,通用视觉问答,
MMBench-V1.1,MMBench-V1.1,
RealWorldQA,RealWorldQA,
MMStar,MMStar,
SimpleVQA,SimpleVQA,
Qwen3-VL family,Qwen3-VL系列,
Qwen3-VL-235B-A22B-Thinking,Qwen3-VL-235B-A22B-Thinking,
Gemini-2.5-Pro,Gemini-2.5-Pro,
