source,target,tgt_lng
concatenation,连接,
MTP head 2,MTP 头 2,
(Shared) Embedding,共享嵌入,
Gated SWA,门控 SWA,
Block,块,
H-Norm,H范数,
E-Norm,E范数,
Linear,线性,
Main Stream,主流,
MTP module 1,MTP 模块 1,
Loss,损失,
Steps,步数,
Layer 38,第38层,
Solid,实线,
Dashed,虚线,
max,最大值,
Median,中位数,
WinoGrande,WinoGrande,
5-shot,5-shot,
GPQA,GPQA,
4-shot,4-shot,
HumanEval,HumanEval,
3-shot,3-shot,
MMLU-Redux,MMLU-Redux,
MMLU-Pro,MMLU-Pro,
HellaSwag,HellaSwag,
10-shot,10-shot,
Base,Base,
Activated Params,激活参数,
11B,11B,
15B,15B,
32B,32B,
37B,37B,
Total Params,总参数,
196B,196B,
309B,309B,
GPQA-Diamond,GPQA-Diamond,
13.87%,13.87%,
General,通用,
0.80B,0.80B,
Code Agent,代码代理,
0.90B,0.90B,
Tool-use,工具使用,
0.76B,0.76B,
Search Agent,搜索代理,
0.50B,0.50B,
8.75%,8.75%,
BBH,BBH,
MMLU,MMLU,
MBPP,MBPP,
C-EVAL,C-EVAL,
CMMLU,CMMLU,
Avg.,平均,
Sink Token,汇流标记,
Head-wise Gate,逐头门控,
S3F1,S3F1,
NVIDIA H800,NVIDIA H800,
NVLink,NVLink,
NVSwitch,NVSwitch,
RoCE,RoCE,
Step 3.5 Flash,Step 3.5 Flash,
Steptron,Steptron,
PyTorch,PyTorch,
Megatron-LM,Megatron-LM,
强化学习 (RL),强化学习 (RL),
MIS-PO,MIS-PO,
PPO,PPO,
Rotary Position Embeddings,旋转位置嵌入,
Muon optimizer,Muon优化器,
MoE router,MoE路由器,
EP-group balance loss,EP组平衡损失,
SFT training,SFT训练,
MTP loss,MTP损失,
Rotary Position Embeddings (RoPE),旋转位置嵌入（RoPE）,
Metropolis Independence Sampling,Metropolis独立采样,
inference policy,推理策略,
training policy,训练策略,
binary masking,二进制掩码,
off-distribution samples,离分布样本,
gradient variance,梯度方差,
IMO-AnswerBench,IMO-AnswerBench,
LiveCodeBench-v6,LiveCodeBench-v6,
CF-Div2-Stepfun-cpp,CF-Div2-Stepfun-cpp,
τ2-Bench,τ2-Bench,
Arena-Hard-v2.0,Arena-Hard-v2.0,
RepoQA,RepoQA,
MRCR-8needle,MRCR-8needle,
FRAMES-Oracle,FRAMES-Oracle,
355B,355B,
671B,671B,
1043B,1043B,
88.2†,88.2†,
88.7†,88.7†,
87.4†,87.4†,
87.8†,87.8†,
Benchmark,基准测试,
Shots,样本,
MiMo-V2 Flash,MiMo-V2 闪存,
GLM-4.5,GLM-4.5,
DeepSeek V3.1,DeepSeek V3.1,
DeepSeek V3.2,DeepSeek V3.2,
Exp Base,实验基础,
Kimi-K2,Kimi-K2,
MultiChallenge,MultiChallenge,
IFBench,IFBench,
SuperGPQA,SuperGPQA,
42.3,42.3,
43.6,43.6,
SimpleQA,SimpleQA,
26.3,26.3,
27.0,27.0,
MATHEMATICS,数学,
GSM8K,GSM8K,
8-shot,8-shot,
91.4,91.4,
Vanilla,Vanilla,
PaCoRe,PaCoRe,
MiniMax,MiniMax,
M2.1,M2.1,
MiMo V2,MiMo V2,
Flash,Flash,
GLM,GLM,
DeepSeek,DeepSeek,
V3.2,V3.2,
Kimi K2.5,Kimi K2.5,
Gemini,Gemini,
CHINESE,中文,
C-SimpleQA,C-SimpleQA,
Step 3.5,步骤3.5,
loss spike,损失尖峰,
loss mask,损失掩码,
Muon,Muon,
polar-factor iteration,极因子迭代,
reduced precision,降低精度,
expert-side collapse,专家端崩溃,
router dispatch statistics,路由调度统计,
loss reduction,损失减少,
orthogonalization approximation,正交化近似,
Polar Express,Polar Express,
Newton–Schulz (NS) iteration,牛顿-舒尔茨（NS）迭代,
safety scaling,安全缩放,
bfloat16,bfloat16,
cumulative error,累积误差,
float16,float16,
DeepSeek-R1,DeepSeek-R1,
structured report generation pipeline,结构化报告生成管道,
R E S E A R C HR U B R I C S,R E S E A R C HR U B R I C S,
Tool-Use Template Design,工具使用模板设计,
Tool-Use Template,工具使用模板,
JSON,JSON,
XML,XML,
Scalable Code Agent Infrastructure,可扩展代码代理基础设施,
Session-Router,会话路由器,
Kubernetes,Kubernetes,
Tmux,Tmux,
Open-Hands,Open-Hands,
SWE-agent,SWE-agent,
Terminus-2,Terminus-2,
Kilocode,Kilocode,
Roocode,Roocode,
ClaudeCode,ClaudeCode,
CF-Div2-Stepfun,CF-Div2-Stepfun,
LiveCodeBench,LiveCodeBench,
SuperG-PQA,SuperG-PQA,
MATH,MATH,
HumanEval+,HumanEval+,
MBPP+,MBPP+,
MultiPL-E,MultiPL-E,
binary indicator function,二元指示函数,
token level,token级别,
trajectory level,轨迹级别,
geometric mean ratio,几何平均比率,
actor loss,演员损失,
trust-region constraint,信任区域约束,
ablation study,消融研究,
actor gradient norm,演员梯度范数,
Truncation-Aware Value Bootstrapping,截断感知值引导,
context-length truncation,上下文长度截断,
Routing Confidence,路由置信度,
MoE architectures,MoE架构,
Routing Confidence as a Stability Proxy,作为稳定性代理的路由置信度,
RL stability,RL稳定性,
Router Replay,Router Replay,
on-policy updates,在线策略更新,
RL with verifiable rewards (RLVR),具有可验证奖励的RL (RLVR),
ARC-AGI-1,ARC-AGI-1,
HLEtext,HLEtext,
81.0,81.0,
81.6,81.6,
74.6,74.6,
75.6,75.6,
89.0,89.0,
0-shot,0-shot,
64.6,64.6,
67.7,67.7,
GSPO,GSPO,
GitHub,GitHub,
LLMs,大语言模型,
PRs,拉取请求,
issues,问题,
commits,提交,
repository popularity,仓库流行度,
content quality,内容质量,
issue descriptions,问题描述,
5-million-sample foundation,500万样本基础,
First 30B tokens,30B tokens,
Layers,层,
Dimension,维度,
Leading Dense Layers,主导密集层,
Routed Experts,路由专家,
Active Experts,活跃专家,
Shared Experts,共享专家,
Load Balancing Method,负载均衡方法,
Loss Free [64],无损[64],
Attention module,注意力模块,
GQA8,GQA8,
Sequence Length,序列长度,
Vocab Size,词汇量大小,
Token Efficiency,Token效率,
frontier-level intelligence,前沿级智能,
Gemini 3.0 Pro,Gemini 3.0 Pro,
generation trajectories,生成轨迹,
prune and compress the thinking,修剪和压缩思考,
competitive performance,竞争性能,
EfficientUniversal Mastery,高效通用掌握,
generalist versatility,通用多功能性,
deep domain expertise,深度领域专业知识,
on-policy distillation,在线策略蒸馏,
internalize expert behaviors,内化专家行为,
sample efficiency,样本效率,
codeforces.com,codeforces.com,
huggingface.co/datasets/openai/mrcr,huggingface.co/datasets/openai/mrcr,
dense model,密集模型,
actorgradient norm,动作梯度范数,
Moe model,MoE模型,
accelerated convergence,加速收敛,
training-inference discrepancy,训练-推理差异,
density ratio,密度比,
rollout policy,滚动策略,
pre-update policy snapshot,预更新策略快照,
Dense,密集,
MoE,MoE,
Generalized Importance Sampling,广义重要性采样,
token-level importance sampling ratio,token级重要性采样比率,
trajectory-level ratios,轨迹级比率,
Chain-of-Thought,思维链,
LLM-based,基于大语言模型的,
gpt-oss-120b,gpt-oss-120b,
CoT-prompts,CoT-prompts,
Tool-integrated PaCoRe,工具集成PaCoRe,
Kimi K2-Thinking,Kimi K2-Thinking,
GLM-4.7,GLM-4.7,
MiniMax M2.1,MiniMax M2.1,
Claude Opus 4.5,Claude Opus 4.5,
Anchor-Based,基于锚点的,
GPT-5.2,GPT-5.2,
Reference Response,参考响应,
Anchor,锚点,
Usefulness,实用性,
Logic,逻辑性,
Instruction Following,指令遵循,
Tone,语气,
Hybrid LLM-as-a-Judge,混合LLM作为裁判,
Minimax-M2.1,Minimax-M2.1,
system prompt,系统提示,
question prompt,问题提示,
MMLU-Pro dataset,MMLU-Pro数据集,
binary choices,二进制选择,
Claude Sonnet,Claude Sonnet,
Table 11,表11,
Baseline Score,基线分数,
▲Performance Gain,▲性能提升,
Avg Gain,平均提升,
256K setting,256K设置,
agentic competence,代理能力,
parametric memorization,参数记忆,
tool-usage gain,工具使用提升,
GAIA,GAIA,
xbench-DeepSearch,xbench-DeepSearch,
HLE,HLE,
SWE-Bench Verified,SWE-Bench 验证版,
SWE-Bench Multilingual,SWE-Bench 多语言版,
OpenHands,OpenHands,
CodeAct Agent framework,CodeAct 代理框架,
execute_bash,execute_bash,
str_replace_editor,str_replace_editor,
finish,finish,
think,think,
compiled languages,编译型语言,
Artifactory repository,Artifactory 仓库,
Terminus 2 framework,Terminus 2 框架,
STEM,STEM,
puzzle benchmarks,谜题基准测试,
AIME 2025,AIME 2025,
HMMT 2025 Feb.,HMMT 2025 二月,
HMMT 2025 Nov.,HMMT 2025 十一月,
Batch Size,批大小,
Weight Decay,权重衰减,
Partial RoPE,部分RoPE,
